団体コード,総数,100歳以上
,125583658,64454
010006,5342618,2879
011002,1936173,842
011011,229800,98
011029,282050,126
011037,259818,107
011045,210612,96
011053,218426,85
011061,139317,82
011070,212547,83
011088,127625,49
011096,141162,69
011100,114816,47
012025,264592,119
012033,120220,76
012041,342036,190
012050,86821,45
012068,173893,81
012076,167515,80
012084,119617,78
012092,8659,13
012106,83817,58
012114,36710,22
012122,22035,9
012131,172623,53
012149,35161,10
012157,22675,15
012165,14472,13
012173,118748,60
012181,10712,13
012190,22564,8
012203,19637,18
012211,28216,29
012220,8983,9
012238,26750,8
012246,95902,20
012254,41163,33
012262,17542,20
012271,3519,1
012289,21525,24
012297,22420,19
012301,49296,18
012319,68949,17
012335,34993,25
012343,58953,31
012351,58634,36
012360,47024,17
013030,16538,8
013048,3218,7
013315,7760,6
013323,4310,5
013331,4573,3
013340,4402,1
013374,28492,11
013439,4009,1
013455,16029,9
013463,17144,17
013471,5559,3
013617,8071,8
013625,5111,8
013633,4086,6
013641,3915,4
013676,2789,3
013706,5542,8
013714,8424,15
013919,1543,2
013927,3051,3
013935,2972,6
013943,4866,5
013951,4782,0
013960,2087,3
013978,1832,2
013986,2209,0
013994,3095,2
014001,14922,7
014010,6111,6
014028,13145,8
014036,1736,1
014044,900,1
014052,2192,0
014061,3205,3
014079,3371,1
014087,19502,14
014095,1109,3
014231,7746,5
014249,5638,8
014257,3238,4
014273,5356,4
014281,11192,3
014290,12252,14
014303,3413,1
014311,1956,6
014320,6782,7
014338,3097,2
014346,2431,4
014362,2534,4
014371,1959,6
014389,3191,6
014524,7123,12
014532,10378,6
014541,6629,5
014559,3826,3
014567,2929,8
014575,3745,3
014583,7934,7
014591,10283,10
014605,10949,3
014613,5102,4
014621,2581,5
014630,1114,1
014648,3527,8
014656,3272,6
014681,3341,5
014699,4564,9
014702,786,0
014711,1628,2
014729,1574,1
014818,4548,2
014826,3223,4
014834,3235,4
014842,7315,7
014851,1233,0
014869,2761,1
014877,3184,7
015113,2655,2
015121,3714,3
015130,1773,0
015148,8400,3
015164,4035,0
015172,2607,1
015181,2146,0
015199,2635,2
015202,2404,3
015431,20190,18
015440,4973,3
015458,11734,8
015466,4201,8
015474,5038,2
015491,5173,7
015504,3029,5
015521,5207,11
015555,20661,15
015598,9081,9
015601,2717,3
015610,3858,0
015628,1108,0
015636,4389,3
015644,7394,7
015717,4153,4
015750,2623,2
015784,17592,12
015814,4650,3
015849,9103,10
015857,8231,7
015865,8503,3
016012,12413,5
016021,5176,3
016047,5606,8
016071,12698,8
016080,4516,2
016098,4900,4
016101,23341,18
016314,45156,29
016322,6177,6
016331,4854,1
016349,5508,1
016357,6190,6
016365,9680,14
016373,18881,16
016381,3945,5
016390,3259,3
016411,5673,5
016420,7144,4
016438,27203,15
016446,6981,7
016454,3215,4
016462,7379,5
016471,7119,7
016489,2478,10
016497,4986,2
016616,19934,4
016624,9737,2
016632,6049,2
016641,7757,7
016659,7571,10
016675,2506,0
016683,8171,1
016918,15251,5
016926,23818,6
016934,5329,2
016942,5320,1
016951,0,0
016969,0,0
016977,0,0
016985,0,0
016993,0,0
017001,0,0
020001,1319349,571
022012,289250,74
022021,175038,80
022039,233252,75
022047,34491,11
022055,56484,30
022063,62724,27
022071,40065,14
022080,59801,31
022098,33773,20
022101,31978,16
023001,23631,10
023019,11440,2
023035,2839,4
023043,2919,0
023078,6433,4
023205,19208,12
023213,10499,6
023230,8709,6
023400,1378,0
023434,1378,0
023604,33393,18
023612,15296,9
023621,10057,5
023671,8040,4
023809,39183,23
023817,14146,4
023841,13415,9
023876,11622,10
024007,99405,57
024015,13687,8
024023,16252,15
024058,10912,7
024066,4674,6
024082,18185,11
024112,10467,2
024121,25228,8
024201,16533,9
024236,5583,1
024244,6750,5
024252,2048,0
024261,2152,3
024406,69762,64
024414,10553,12
024422,17962,16
024431,5826,8
024457,18915,17
024465,13860,7
024503,2646,4
030007,1271103,776
032018,291368,122
032026,54996,36
032034,37547,36
032051,97751,57
032069,92811,60
032077,35972,26
032085,28181,21
032093,120247,85
032107,19740,19
032115,35084,20
032131,27856,19
032140,26550,19
032158,119595,88
032166,55110,11
033006,37439,23
033014,17064,13
033022,6467,1
033031,13908,9
033201,60616,24
033219,33434,15
033227,27182,9
033600,5979,8
033669,5979,8
033804,15774,13
033812,15774,13
034002,7851,12
034029,7851,12
034401,5744,5
034410,5744,5
034606,12270,3
034614,12270,3
034801,32300,28
034827,16136,13
034835,9791,6
034843,3568,5
034851,2805,4
035009,37387,31
035017,9511,3
035033,4387,8
035068,6051,6
035076,17438,14
035203,12935,10
035246,12935,10
040002,2300472,943
041009,1046404,345
041017,286346,130
041025,187835,58
041033,132517,35
041041,225271,60
041050,214435,62
042021,146608,75
042030,54804,22
042056,65541,35
042064,35026,19
042072,77465,19
042081,29926,17
042099,62048,16
042111,44122,26
042129,81719,50
042137,70186,51
042145,40161,22
042153,132447,53
042161,52345,4
043001,13858,9
043010,12375,6
043028,1483,3
043206,82080,37
043214,23532,9
043222,11372,6
043231,38124,17
043249,9052,5
043401,14105,20
043419,14105,20
043605,46358,34
043613,33932,23
043621,12426,11
044008,69928,24
044016,14625,12
044041,19137,4
044067,36166,8
044202,42593,22
044211,28453,13
044229,8327,6
044245,5813,3
044407,31155,18
044440,7080,3
044458,24075,15
045004,41600,15
045012,16704,7
045055,24896,8
045802,6601,6
045811,6601,6
046001,13392,4
046060,13392,4
050008,1025559,633
052019,313543,139
052027,55056,39
052035,92875,61
052043,74434,65
052060,28992,27
052078,46947,36
052094,32096,18
052108,79426,48
052116,33442,17
052124,83897,43
052132,33344,31
052141,25472,16
052159,27443,22
053007,5355,7
053031,5355,7
053201,2423,3
053279,2423,3
053406,28347,22
053465,3480,3
053481,17372,14
053490,7495,5
053601,24001,14
053619,9762,6
053635,6089,3
053660,4948,1
053686,3202,4
054208,20259,14
054348,20259,14
054607,18207,11
054631,15581,7
054640,2626,4
060003,1112238,648
062014,247916,124
062022,82268,64
062031,129445,76
062049,105024,49
062057,36453,9
062065,41376,20
062073,31253,19
062081,24957,16
062090,27315,17
062103,61796,27
062111,47481,31
062120,16908,14
062138,31995,19
063002,26176,21
063011,14612,14
063029,11564,7
063207,40482,43
063215,19111,18
063223,5660,8
063231,7187,8
063240,8524,9
063401,7343,5
063410,7343,5
063606,41041,25
063614,5773,3
063622,8948,9
063631,5584,2
063649,8146,4
063657,3417,2
063665,4381,2
063673,4792,3
063801,39692,29
063819,23947,16
063827,15745,13
064009,29597,17
064017,7962,4
064025,14251,6
064033,7384,7
064203,29429,10
064262,7526,3
064289,21903,7
064602,14291,13
064611,14291,13
070009,1926751,1010
072010,281746,115
072028,120836,53
072036,324698,128
072044,327831,161
072052,61720,16
072079,77304,29
072087,49343,42
072095,35586,16
072109,55965,33
072117,38003,28
072125,62608,42
072133,61897,38
072141,30576,17
073008,35629,17
073016,12178,7
073032,9435,2
073083,14016,8
073202,8536,10
073229,8536,10
073407,18590,6
073423,12754,2
073440,5836,4
073601,27460,38
073628,6014,8
073644,582,1
073679,4505,4
073687,16359,25
074004,28029,32
074021,2883,0
074055,6722,11
074071,3587,4
074080,14837,17
074209,23346,12
074217,16450,9
074225,3342,0
074233,3554,3
074403,26323,31
074446,1714,2
074454,2189,7
074462,1321,1
074471,21099,21
074608,49165,25
074616,19896,8
074641,6514,6
074659,5183,4
074667,17572,7
074802,33137,20
074811,14368,8
074829,6018,4
074837,9122,8
074845,3629,0
075001,41132,23
075019,15819,10
075027,6862,1
075035,6306,2
075043,6593,5
075051,5552,5
075205,28033,30
075213,17518,13
075221,10515,17
075400,65158,35
075418,4987,1
075426,7256,2
075434,13538,2
075442,2701,2
075451,10617,9
075469,6143,7
075477,18448,10
075485,1468,2
075604,14100,13
075612,8010,9
075647,6090,4
080004,2903615,1324
082015,269970,152
082023,182912,109
082031,140160,67
082040,141398,45
082058,75828,44
082074,50638,27
082082,76834,18
082104,42714,29
082112,59839,27
082121,53692,66
082147,29507,11
082155,44616,31
082163,76852,38
082171,106851,40
082198,83940,19
082201,218394,72
082210,158219,61
082228,67251,19
082236,28668,13
082244,65501,14
082252,43221,38
082261,55224,31
082279,104731,45
082287,53587,21
082295,41939,15
082309,41686,10
082317,43359,28
082325,92724,13
082333,35248,21
082341,47904,26
082350,50464,23
082368,50926,15
083003,69702,38
083020,32757,12
083097,16665,11
083101,20280,15
083402,38066,22
083411,38066,22
083607,18082,15
083640,18082,15
084409,71568,27
084425,15672,5
084433,46743,17
084476,9153,5
085201,21652,10
085219,21652,10
085405,33308,13
085421,8715,6
085464,24593,7
085600,16440,11
085642,16440,11
090000,1955876,847
092011,513835,167
092029,147317,65
092037,159250,66
092045,118105,48
092053,98258,53
092061,84219,64
092088,160610,56
092096,77880,26
092100,71500,41
092118,33144,23
092134,116229,53
092142,44059,20
092151,27347,19
092169,59535,22
093009,31121,10
093017,31121,10
093408,64728,41
093424,23584,11
093432,13527,16
093441,11859,6
093459,15758,8
093602,64818,16
093611,39337,10
093645,25481,6
093807,41088,26
093840,11734,10
093866,29354,16
094005,42833,31
094072,25725,18
094111,17108,13
100005,1949754,1078
102016,333786,221
102024,370722,186
102032,113730,81
102041,200856,86
