団体コード,総数
,125583658
010006,5342618
011002,1936173
011011,229800
011029,282050
011037,259818
011045,210612
011053,218426
011061,139317
011070,212547
011088,127625
011096,141162
011100,114816
012025,264592
012033,120220
012041,342036
012050,86821
012068,173893
012076,167515
012084,119617
012092,8659
012106,83817
012114,36710
012122,22035
012131,172623
012149,35161
012157,22675
012165,14472
012173,118748
012181,10712
012190,22564
012203,19637
012211,28216
012220,8983
012238,26750
012246,95902
012254,41163
012262,17542
012271,3519
012289,21525
012297,22420
012301,49296
012319,68949
012335,34993
012343,58953
012351,58634
012360,47024
013030,16538
013048,3218
013315,7760
013323,4310
013331,4573
013340,4402
013374,28492
013439,4009
013455,16029
013463,17144
013471,5559
013617,8071
013625,5111
013633,4086
013641,3915
013676,2789
013706,5542
013714,8424
013919,1543
013927,3051
013935,2972
013943,4866
013951,4782
013960,2087
013978,1832
013986,2209
013994,3095
014001,14922
014010,6111
014028,13145
014036,1736
014044,900
014052,2192
014061,3205
014079,3371
014087,19502
014095,1109
014231,7746
014249,5638
014257,3238
014273,5356
014281,11192
014290,12252
014303,3413
014311,1956
014320,6782
014338,3097
014346,2431
014362,2534
014371,1959
014389,3191
014524,7123
014532,10378
014541,6629
014559,3826
014567,2929
014575,3745
014583,7934
014591,10283
014605,10949
014613,5102
014621,2581
014630,1114
014648,3527
014656,3272
014681,3341
014699,4564
014702,786
014711,1628
014729,1574
014818,4548
014826,3223
014834,3235
014842,7315
014851,1233
014869,2761
014877,3184
015113,2655
015121,3714
015130,1773
015148,8400
015164,4035
015172,2607
015181,2146
015199,2635
015202,2404
015431,20190
015440,4973
015458,11734
015466,4201
015474,5038
015491,5173
015504,3029
015521,5207
015555,20661
015598,9081
015601,2717
015610,3858
015628,1108
015636,4389
015644,7394
015717,4153
015750,2623
015784,17592
015814,4650
015849,9103
015857,8231
015865,8503
016012,12413
016021,5176
016047,5606
016071,12698
016080,4516
016098,4900
016101,23341
016314,45156
016322,6177
016331,4854
016349,5508
016357,6190
016365,9680
016373,18881
016381,3945
016390,3259
016411,5673
016420,7144
016438,27203
016446,6981
016454,3215
016462,7379
016471,7119
016489,2478
016497,4986
016616,19934
016624,9737
016632,6049
016641,7757
016659,7571
016675,2506
016683,8171
016918,15251
016926,23818
016934,5329
016942,5320
016951,0
016969,0
016977,0
016985,0
016993,0
017001,0
020001,1319349
022012,289250
022021,175038
022039,233252
022047,34491
022055,56484
022063,62724
022071,40065
022080,59801
022098,33773
022101,31978
023001,23631
023019,11440
023035,2839
023043,2919
023078,6433
023205,19208
023213,10499
023230,8709
023400,1378
023434,1378
023604,33393
023612,15296
023621,10057
023671,8040
023809,39183
023817,14146
023841,13415
023876,11622
024007,99405
024015,13687
024023,16252
024058,10912
024066,4674
024082,18185
024112,10467
024121,25228
024201,16533
024236,5583
024244,6750
024252,2048
024261,2152
024406,69762
024414,10553
024422,17962
024431,5826
024457,18915
024465,13860
024503,2646
030007,1271103
032018,291368
032026,54996
032034,37547
032051,97751
032069,92811
032077,35972
032085,28181
032093,120247
032107,19740
032115,35084
032131,27856
032140,26550
032158,119595
032166,55110
033006,37439
033014,17064
033022,6467
033031,13908
033201,60616
033219,33434
033227,27182
033600,5979
033669,5979
033804,15774
033812,15774
034002,7851
034029,7851
034401,5744
034410,5744
034606,12270
034614,12270
034801,32300
034827,16136
034835,9791
034843,3568
034851,2805
035009,37387
035017,9511
035033,4387
035068,6051
035076,17438
035203,12935
035246,12935
040002,2300472
041009,1046404
041017,286346
041025,187835
041033,132517
041041,225271
041050,214435
042021,146608
042030,54804
042056,65541
042064,35026
042072,77465
042081,29926
042099,62048
042111,44122
042129,81719
042137,70186
042145,40161
042153,132447
042161,52345
043001,13858
043010,12375
043028,1483
043206,82080
043214,23532
043222,11372
043231,38124
043249,9052
043401,14105
043419,14105
043605,46358
043613,33932
043621,12426
044008,69928
044016,14625
044041,19137
044067,36166
044202,42593
044211,28453
044229,8327
044245,5813
044407,31155
044440,7080
044458,24075
045004,41600
045012,16704
045055,24896
045802,6601
045811,6601
046001,13392
046060,13392
050008,1025559
052019,313543
052027,55056
052035,92875
052043,74434
052060,28992
052078,46947
052094,32096
052108,79426
052116,33442
052124,83897
052132,33344
052141,25472
052159,27443
053007,5355
053031,5355
053201,2423
053279,2423
053406,28347
053465,3480
053481,17372
053490,7495
053601,24001
053619,9762
053635,6089
053660,4948
053686,3202
054208,20259
054348,20259
054607,18207
054631,15581
054640,2626
060003,1112238
062014,247916
062022,82268
062031,129445
062049,105024
062057,36453
062065,41376
062073,31253
062081,24957
062090,27315
062103,61796
062111,47481
062120,16908
062138,31995
063002,26176
063011,14612
063029,11564
063207,40482
063215,19111
063223,5660
063231,7187
063240,8524
063401,7343
063410,7343
063606,41041
063614,5773
063622,8948
063631,5584
063649,8146
063657,3417
063665,4381
063673,4792
063801,39692
063819,23947
063827,15745
064009,29597
064017,7962
064025,14251
064033,7384
064203,29429
064262,7526
064289,21903
064602,14291
064611,14291
070009,1926751
072010,281746
072028,120836
072036,324698
072044,327831
072052,61720
072079,77304
072087,49343
072095,35586
072109,55965
072117,38003
072125,62608
072133,61897
072141,30576
073008,35629
073016,12178
073032,9435
073083,14016
073202,8536
073229,8536
073407,18590
073423,12754
073440,5836
073601,27460
073628,6014
073644,582
073679,4505
073687,16359
074004,28029
074021,2883
074055,6722
074071,3587
074080,14837
074209,23346
074217,16450
074225,3342
074233,3554
074403,26323
074446,1714
074454,2189
074462,1321
074471,21099
074608,49165
074616,19896
074641,6514
074659,5183
074667,17572
074802,33137
074811,14368
074829,6018
074837,9122
074845,3629
075001,41132
075019,15819
075027,6862
075035,6306
075043,6593
075051,5552
075205,28033
075213,17518
075221,10515
075400,65158
075418,4987
075426,7256
075434,13538
075442,2701
075451,10617
075469,6143
075477,18448
075485,1468
075604,14100
075612,8010
075647,6090
080004,2903615
082015,269970
082023,182912
082031,140160
082040,141398
082058,75828
082074,50638
082082,76834
082104,42714
082112,59839
082121,53692
082147,29507
082155,44616
082163,76852
082171,106851
082198,83940
082201,218394
082210,158219
082228,67251
082236,28668
082244,65501
082252,43221
082261,55224
082279,104731
082287,53587
082295,41939
082309,41686
082317,43359
082325,92724
082333,35248
082341,47904
082350,50464
082368,50926
083003,69702
083020,32757
083097,16665
083101,20280
083402,38066
083411,38066
083607,18082
083640,18082
084409,71568
084425,15672
084433,46743
084476,9153
085201,21652
085219,21652
085405,33308
085421,8715
085464,24593
085600,16440
085642,16440
090000,1955876
092011,513835
092029,147317
092037,159250
092045,118105
092053,98258
092061,84219
092088,160610
092096,77880
092100,71500
092118,33144
092134,116229
092142,44059
092151,27347
092169,59535
093009,31121
093017,31121
093408,64728
093424,23584
093432,13527
093441,11859
093459,15758
093602,64818
093611,39337
093645,25481
093807,41088
093840,11734
093866,29354
094005,42833
094072,25725
094111,17108
100005,1949754
102016,333786
102024,370722
102032,113730
102041,200856
102059,214113
102067,49170
102075,75306
102083,79339
102091,66089
102105,49304
102113,59104
102121,51058
103403,35375
103446,14505
103454,20870
103608,3278
103667,1264
103675,2014
103802,23216
103829,7866
103837,2021
103845,13329
104205,56425
104213,16619
104248,5714
104256,9690
104264,6387
104281,3696
104299,14319
104400,34748
104434,4614
104442,3348
104485,7201
104493,19585
104604,36030
104647,36030
105201,98105
105210,14835
105228,11262
105236,11281
105244,34388
105252,26339
110001,7194582
111007,1260267
111015,87144
111023,144179
111031,113336
111040,158970
111058,97854
111066,93602
111074,155943
111082,179480
111091,119737
111104,110022
112011,344734
112020,196815
112038,565506
112062,81525
112071,64021
112089,339293
112097,79508
112101,112300
112119,76836
112127,88125
112143,233111
112151,150960
112160,54258
112178,117635
112186,142132
112194,225211
112216,241237
112224,333725
112232,68638
112241,131073
112259,147407
112275,133677
112283,73794
112291,79223
112305,161934
112313,74662
112321,152001
112330,67174
112348,84236
112356,108396
112372,135705
112381,61836
112399,99100
112402,51496
112411,69011
112429,55889
112437,70252
112453,111314
112461,51881
113000,44165
113018,44165
113204,83699
113247,37639
113263,34262
113271,11798
113409,132238
113417,17912
113425,17681
113433,30965
113468,20488
113476,19613
113484,14063
113492,11516
113603,40909
113611,8461
113620,10022
113638,7318
113654,12126
113697,2982
113808,55004
113816,11216
113832,13634
113859,30154
114006,34036
114081,34036
114405,33402
114421,33402
114600,75231
114642,45425
114651,29806
120006,6152877
121002,942699
121011,198577
121029,173730
121037,154448
121045,147297
121053,126768
121061,141879
122025,62390
122033,466276
122041,615783
122050,47564
122068,132386
122076,478079
122084,152634
122106,89887
122114,128157
122122,174120
122131,58287
122157,65926
122165,168433
122173,405322
122181,18356
122190,273994
122203,178579
122211,191441
122220,130869
122238,33449
122246,108116
122254,85763
122262,45588
122271,162981
122289,90451
122297,61652
122301,70132
122319,95798
122327,62490
122335,48246
122343,39426
122351,37262
122360,78065
122378,52614
122386,38822
122394,49608
123200,41744
123226,20683
123293,21061
123404,35077
123421,6168
123471,14689
123498,14220
124001,47887
124036,16430
124095,7291
124109,24166
124206,61145
124214,12314
124222,7196
124231,14552
124249,11555
124265,7181
124273,8347
124401,17186
124419,9510
124435,7676
124605,8193
124630,8193
130001,13043707
